,score,comments
110,-2,"It was close to where we wanted to be: near the beginning of the freedom trail and cute shops/restaurants. It was also close to the public transit in case we needed it, but we mostly walked around and ubered. The key was easy to access and we didn't have trouble, but the way it was described made me skeptical. The biggest thing that bothered me, throughout the two nights I stayed there, was the faucet kept leaking and it was the most annoying thing in the world. I tried to get it to stop by softening the fall with a sponge, but it could not be avoided. It's an easy fix though and I hope it's done next time I go there, because I would love to stay again."
111,-1,Extremely well located but poorly maintained and dirty... 
112,-1,"The room is smaller  than I expected. Two guests are just fine but three guests would be very narrowed. Even though the check in time is 12 o'clock, but the host's cleaning time is 12 p.m. to 3 p.m. And it's hard to contact the host. I stayed in Sean's house for two days. The first day I just wanted to ask him if we could check in a little earlier, he didn't answered any of my calls or texts. And in the first night, we found the wifi has problem and I  texted him and he said he would check it next morning, however it was still no wifi next day and he didn't reply me any more! Finally I got his text after we checked out, he said ""100 percent wifi uptime is not guaranteed""!"
113,-3,"We loved the neighborhood and picked Sean's place because it was steps away from my old apartment I lived in during my 20s- a nostalgia trip. We did meet Sean who seemed very nice. We gave a low rating because this is a marginally maintained building and studio. We were disappointed in the shabby condition of the interior building entry, filthy carpets- rundown feel. It happens I know on Beacon Hill with old places. The studio one room is the size it appears in the photo but is not accurate to the photo. The bathroom has a terrible looking tub and the sink is very old pedestal and pink and not the one shown on the site photo. There is no longer natural pine panelling, but is painted orange flat paint. Floors are wood but badly scratched. Roller shades are tenement style ugly and taped with duct tape. Windows are so, so needing to be cleaned and could easily be windexed from the street since the apt is street level. Very skimpy dishes/glasses. Couldn't find one drinking glass but maybe we missed that.
Pros are that it is quiet, it was relatively clean on surfaces, hot shower, very comfy bed- wonderful mattress. And of course loved the location.
There is no TV but they never said there was so that's ok. We didn't think about that and missed the Olympics at night but went to a bar to watch. "
114,-2,"I'll start with the pros:
The neighborhood is great. Most of the people on the street are nice and say hello. Also, there is an African food market right down the street that sales inexpensive fish and groceries.

The host is a nice person at heart.

The cons:
The room is very far away from town.

Public transportation ranges from perfect to spotty- one time I had to get an Uber home because the buses were delayed over an hour. The residence is far enough away from the city for walking to be impractical.

Although nice, the host does not seem to understand how to operate a business of this nature.

The host charged $40 for an extra person but did not offer an additional mattress or key until asked. This usually would not be an issue; however, the host made me and my roomate take a bed up a very narrow flight of stairs and I had to assemble the frame. This was doable for two young men, but was not easy. The key had to be made, which means that one of us went without a key for a day.

The host left town and expected me to leave the city to let in another guest. The host called and texted me numerous times during a professional meeting, despite me telling her that I would not be able to let the guest in. This was very distracting and disrespectful for me and the person that was waiting to get in.

The other guest waited at her doorstep for several hours and ended up sleeping at a random neighbor's house the first night- this could be you. 

In addition, the host sent me a picture of the other guest's passport for some reason- I guess so I could verify who he was. However, this is grossly inappropriate and makes me extremely uncomfortable knowing she has a picture of my ID."
115,-1,"Très jolie maison 
Belle chanbre très propre 
Plusieurs salle de bain très propre et récente avec serviette 
Très bien placer à 100 mètres d'une ligne de métro 
Très bien organisé pour les clefs 
Je suis arriver de l'aéroport à 3 h du matin à cause des retard du à la tempête aucun problème pour trouver 
C'était parfait!!! 
Merci à quinn"
116,-3,The place's quality is average for this price point. But we had a hard time sleeping in the room due to the loud noise of the in-room refrigerator and light coming through a thin window curtain.
117,-3,The accommodation was dirty and unacceptable. The refrigerator was so smelly we could not use it. There was mildew in shower curtain. 
118,-2,Room 71-5 and Room 71-1 are next to the main road so it is a little annoying by the transportation noise. 
119,-2,"Jim was awesome.  Unfortunately, we were not able to meet, but his attentiveness and responsiveness were perfect. Had two small issues, one a power surge (which was our fault), texted hem, and he replied and had it fixed within minutes. (breaker was in next unit).  The other was a drain issue, and he had committed to come by, but it fixed itself. 
He was great."
120,-1,"Notre séjour s'est très bien déroulé! Merci pour tout John, c'était parfait... Tu as été de très bons conseils."
121,-1,"The area where the boat is docked is not what we thought of as 'up and coming' - it is totally isolated and not walkable to anything interesting. The water taxi is the only way to get around and the schedule we were given was not accurate and made it very confusing to use. The boat itself had mold in the ceilings, bugs in the toilet and a small kitchen that is difficult to actually use because of the electrical outlets. We had many other complaints that space does not permit listing. This was like a camping experience and overall not worth the price. We feel it was misrepresented on the the website."
122,-3,A very unique experience with some unfortunate issues that could not get worked out. Thought we could have a fun non-hotel experience while on a business trip. Hot water was only available for 1 out of 4 days and this was very uncomfortable given that I was with clients all week. Ryan sent over a manager each day that was unable to fix the problem.
123,-3,"Neighborhood wasn't bad but apartment was dingy and dark. Not worth the money.  Parking was not included as indicated in the listing and had to haggle over the parking. He wanted to charge $30 a night for parking. Upon checking in, keys were wet and sticky with who knows what. Apartment not kept up with. Light bulbs out everywhere, dirty floors, not very clean overall. Would rather spend a little bit more money and stay in a hotel. Worst air Bnb I've stayed in for the price. "
124,-1,"The place was clean and usable for sleeping purposes. There just was not too much you can do in there. Also, apparently the floors seem to have been an issue as the residents downstairs were complaining about loud foot steps at night."
125,-7,"It was the worst experience ever, the first thing we encountered entering was an overwhelming smell of dog and cat filth , and on the left side of the front door was a fish tank that hadn't been  cleaned for a long time , so smell combined together was stinky fish mix with dog and cat filth , there were also banana skin and dust everywhere,the bathrooms were also filthy and which she only proceeded to clean after we had complained about the deplorable state they were in. I have known people that kept pet's in their homes but I never had to take that kind of stench these people/host\zoo keepers had better get their act together before word gets out and the health department is summoned to pay them a visit .I can go on and on about my unfortunate and unhealthy experience but I have other things to take care of at this time , I do still have 1 question in the back of my mind who are these people that gave such good reviews about this place we're they paid to do that or are they family members doing a favor lol either way people beware of these inconsiderate people that are only interested in getting your money without having the decency to at least reciprocate with comfortable accommodations for the paying customer . Have a wonderful day everyone ."
126,-1,We had a very pleasant stay at Shawn's. We had no problem checking in and out. Our hosts were kind enough to provide maps and directions to the nearest subway station. Also unlike other guests we did not have any noise issues at night. 
127,-2,"The space was itself was very comfortable but there were a few disappointments that I need to flag. 

Upon our arrival, neither Ari nor Marika was there to greet us -- not the end of the world, but a little bizarre being greeted by a (seemingly)  empty house. 

Most notably, the lock to the room was broken despite  my specific request for confirmation that it worked beforeI booked the space. 

While Ari had extenuating circumstances that made it impossible for me to get in touch with him, Marika -- the point of contact that Ari provided -- was also inaccessible until many hours later. That said, my boyfriend and I spent two hours jimmying the lock shut. 

Unfortunately, we didn't feel safe the rest of the trip -- the lack of any concrete contact was unsettling and no locksmith ever came to fix the door, despite Marika's guarantee the situation would rectified.

As mentioned, the space itself was great but really wish we weren't so mislead about the lock situation. "
128,-1,Ari est très sympa il a comuniqué rapidement avec whats up et (URL HIDDEN) chambre et la maison très jolie et sympa près de Harvard meme si pas vraiment Boston downtown mais en tout cas les bus et metro sont faciles et tout prés. conseillé!
129,-4,No where on the AirBNB description does it say that this is across the street from a landfill and prison. My girlfriend was afraid to even enter the apartment. We had to leave early because she was so uncomfortable and felt so unsafe. 
130,-1,"We had some confusion at first with checking in, but once we got that straightened out, everything else was fine.  This is a working class neighborhood with limited parking, unless you have a resident permit."
131,-1,"The apartment was filthy upon arrival and pictures on website were not indicative of what we saw. Only 1 towel in bathroom for 2 people. We had to borrow towels, etc. from family nearby, due to lack of basic amenities. Host was difficult to communicate with in a timely fashion and made no effort to resolve issues during our stay, but did receive partial refund after several requests. Family member even had to go to hosts' jobsite to  get keys after several texts. Would never recommend."
132,-2,"Victoria und Tim bewohnen ein sehr schönes Häuschen im Viktorianische Stil; Im Untergeschoss befindet sich quasi eine zweite Wohnung mit zwei Zimmern, Küche und Bad. Ich habe während meines Aufenthalts das kleinere der beiden Zimmer bewohnt. Die Kommunikation im Vorhinein lief ganz einfach über Airbnb. Tim, Victorias Mann, hat mich freundlich empfangen und mir alles gezeigt. In der Wohnung hat man alles was man so braucht. Wenn es an irgendwas fehlt, fragt Victoria. Die Kommunikation lief dann auch meist über Airbnb; die beiden haben einen kleinen Sohn und da will man nicht ständig klingeln. 
Die Nachbarschaft, Dorchester, ist ein netter kleiner Vorort mit vielen Viktorianischen Häusern. Die Leute sind alle ziemlich freundlich und man kommt leicht ins Gespräch. Nach Downtown Boston kommt man innerhalb von 20-30 Minuten mit der Red Line (fährt auch bis Harvard). die Busverbindungen sind auch gut. Man kann aber auch mal einen Tag in Dorchester verbringen; die Straße runter gibt es einen Basketballplatz, Baseball- und Footballfeld; es gibt ein paar kleine Läden; einen netten Pub mit gutem Bier; einen fantastischen Vietnamesen; und eine Haltestation Richtung Downtown eine Bucht mit Strandabschnitt.
Aber seht selbst. Victorias Häuschen ist auf jeden Fall einen Besuch wert ;)"
133,-1,"Good location. Very, very small room. Only accesible by steep stairs 3rd floor (As advertised) It gets very hot in the summer in spite of the AC unit. ( window cannot be open to get natural airflow) Internet is shared across all building so speed is ver variable. Very limited cable TV offering. Little flexibility on check in/ check out ( fees for everything). No hair dryer. "
134,-3,"The apartment was located in the basement and it was very dark. It was a small studio with a tiny kitchenette. It was exactly 1 mile away from the prudential center (I (SENSITIVE CONTENTS HIDDEN)d it) and at least a 20-minute walk, not 7 minutes as claimed. Even if you ran, you would hardly be able to make it in 7 minutes. 

In terms of facilities, the wi-fi was very slow and with the apartment being in the basement, the connection was choppy and my devices often disconnected or couldn't connect to the router. The washer and dryer cost $2 EACH, plus the dryer doesn't even work properly!! My clothes would come out wet and the dryer was only half full.

In terms of dealing with the host, he made me sign a lease, which basically says I won't stay past the dates listed on the airbnb. I wouldn't have stayed in the tiny, dark apartment any longer than I had to anyway, but he should understand that this is not the way airbnb works! Also, in the contract, the dates were listed wrong and he asked me twice to deposit an extra $2k+ in addition to the airbnb. I then emailed him to ask, but he said it was a mistake, but twice?! He also listed some ridiculous rules like any trash bags left behind would cost $30 and it will be taken off your deposit. Cleaning up after the guests is part of the airbnb deal, if you don't like it, don't rent it out. Overall, it was a very distasteful experience. "
135,-1,"Sarah is a very kind host. My friend and I stayed here for the Boston Marathon along with another couple in for the same reason, and we had a nice stay.

There was some confusion with the rooms at first, but Sarah took care of it for us without too much trouble.

The only main detraction from staying here is that it was a bit inconvenient to get in and out of the more central part of Boston, and there wasn't much going on in the area - my friend and I didn't spend much time hanging around the area except to come home and sleep. 

Otherwise, Sarah and her family were very nice and welcoming. The room was comfortable, and she provided a mini fridge for us to use, already stocked with milk and some other supplies, along with coffee, tea, and breakfast cereal. 

Thanks, Sarah!"
136,-6,"I am sorry to say that I had a terrible experience at Sarah's place. This was because:
1) The bedroom was so freezing cold on the first night that we couldn't sleep (the bedding was not warm enough)
2) The decor was dingy and there was a range of strange marks/smells
3) The shower was cold on the second morning and never got any hotter
4) Sarah was angry at us for not checking out until 12:30 instead of 12:00 and refused to keep our luggage until later in the afternoon!
5) I tried to find Sarah to let her know about the water. I knocked but she didn't hear, then when I went in she was accused me of barging into her bedroom! (I had no idea what room it was)
My friend and I were shocked at how we were treated by Sarah. Avoid this place like the plague!"
137,-2,Sarah's room is at the top of 2 narrow stairs which made it difficult for my mom to get up and down. Also the hot water was sporadic in the bathroom sink. Overall it was an adequate air Bnb experience but definitely no frills. 
138,-2,"Bernie was overwhelmingly welcoming, offering to carry bags, a tour of the apartment and the rest of the building. He was very accommodating with unclear arrival times due to flight delays/cancellations. Apartment furnishing were perfect. There is a shared bathroom with another guest which was not a problem. Provided shampoo and soap which was unexpected and appreciated. "
139,-1,"Overall this is a good property in a great location. Whilst not Cara's fault, there are a few things that her landlord needs to fix, including leaky toilets, noisy air-conditioning and sub-standard electrical wiring and power points throughout. The location in the midst of Beacon Hill is ideal, being very close to Charles St, and just a few blocks from the T station. "
140,-1,"Ce fut un séjour très agréable, dans un quartier populaire et animé,  la maison est tout près de la ""Dudley station""  bus/tram, ce qui est un atout indéniable. Sarah est une hôtesse souriante et accueillante. La chambre est propre et pourvue de tout le confort  nécessaire, elle possède aussi une salle de bains attenante spécialement dédiée aux hôtes, j'ai apprécié la double possibilité d'être totalement indépendante et de pouvoir aussi participer à la vie de la maison. La cuisine et le salon étaient à ma disposition. Sarah a aussi un petit garçon aussi souriant qu'elle ! "
141,-1,"This was my first time in Boston, so I didn't know the various areas and I was thrown off by reviews for this space. I wish I had the feedback that I'm providing now -  to base my decision on where to stay. 

I'm sure Sarah and Sam are nice people, but the location of this space is questionable. Buyers beware - you get what you paid for. 

Location - this house is located at the Dudley Square Silver Line T stop (which is a BUS, no trains are close to this location). It's a dead end bus stop - as grim as it gets. Smelly, dirt and trash everywhere...homeless people. Is this really the heart of Boston?

Neighborhood - about a 3 block walk, it's not the  cleanest and a bit (URL HIDDEN) 11:30 am on a Thursday morning, people are hanging out in front if their houses (no jobs?), thumping music, loud conversations that are clearly heard even once you are inside the house. 

Sam met us - he was nice. Showed us around the house. Took us to our room. Room/bed exactly as pictured. Nothing more, nothing less. 

The location and neighborhood just wasn't for us. We rented a hotel room, ordered a cab to pick us up at the house and took off. The remainder of the trip was great, Boston is a neat city! 

Good luck!


"
142,-1,"Sarah was very kind, it was no problem to come a little earlier and she gave me all the information I needed. It was a bit farther from the city centre than I initially expected but that was no problem. "
143,-1,"Sarah was very friendly and communicative. Her family members were also very welcoming. It was the first time I've stayed in a room in a shared house, and I was pretty nervous about having to share space with other people. I didn't find it awkward or weird at all. Quite the opposite."
144,-1,"VI hade kontakt i god tid före min ankomst och jag ändrade från att komma ensam till att ta med en kompis, och sen tillbaka till ensamboende utan problem. Sarah var även hemma för att släppa in mig vis ankomst ca 22.30 trots att hon var på väg till sitt nattjobb. Allt som var annonserat fanns på plats. Lite långt från centrum men med buss (för en kostnad av 2.60 USD) kom man till South station eller downtown."
145,-3,"I want to start this review by saying that Boston is a great city to visit and for the most part is clean, attractive, and has plenty of activities to offer. 

With respect to this apartment I would not recommend it for anything other than its close location to Fenway park. Upon arriving I noticed that the apartment was very hot and stagnant and there was no air conditioning or fan to move any air around which made for a very uncomfortable sleeping arrangement. Adding to this the bathroom was quite messy with lots of little hairs around both the sink and toilet seat. The bed sheets were not clean and had a very musty smell to them. 

I found all this very ridiculous considering the price that I paid to stay at this place. After contacting the owner about my complaints and requesting a discount on the place he offered to give me a 25% discount on my next stay for which there will be no next stay. 

Thus I would not recommend this place for anyone 



"
146,-1,"Place was quiet, neighborhood didn't seem bad. We only stayed one night as a BAT was found in one of the rooms. Can't blame anyone for that, but it was enough to make us have serious doubts about returning for another night."
147,-1,Great place. Close to the T and shopping. Only a 15min walk to the aquarium. Only big issue was the noise in the front room at night. Construction across the street made it difficult to sleep some nights. But overall great place to stay and definitely recommend!
148,-1,"Absolutely beautiful apartment which met our needs for a short stay in Boston to help our daughter move.  The pictures give an accurate depiction of the place.  Only 2 minor complaints:

1.  The bed is extremely firm and, while OK for me, was uncomfortable for my wife.

2.  Sean lowered his daily rate several days before our arrival but wouldn't give me the new rate.  Not unreasonable since we had agreed on the higher price but he could have offered  to split the difference.

We would highly recommend this apartment.

"
149,-1,"Darren est venu nous attendre à la sortie du métro qui n'est pas loin de chez lui. La chambre est spacieuse, très propre et très confortable comme le reste de la maison. On se sent tout de suite à l'aise dans cette maison typique, au mobilier moderne, fonctionnel, d'une propreté irréprochable. 
Le quartier est calme, très arboré, avec de jolis jardins et de jolies maisons anciennes de toutes les couleurs. On se rend très vite en métro dans le centre de Boston. La gentillesse de Darren est sans limite pour que ses hôtes se sentent bien. La conversation est agréable avec lui même avec la barrière de la langue.  Il nous a offert un magnifique brunch le jour de notre départ et nous a même emmenés à Boston chercher notre voiture de location. Si nous repassons par Boston nous reviendrons chez Darren. 

Envoyé de mon iPad"
150,-1,"The house is beautiful from the street. Inside?
It could be a charming old house. However, it is so dirty one can not imagine and smells hardly bearable. The staircase is dark at night (some sections have no lights you can put on), God save you from a bad step there. The lack of hygiene is so way out of any reasonable standard you feel to be really cheated when facing such an experience. One is wondering, how can something like this be offered for rent in old Boston without any control e.g. by the company that actually sells it, also for commission?"
151,-1,I just recently stayed in the 4th floor office for 7 nights while attending a function at the Marriott Copley and I couldn't ask for a more convenient location to the hotel and also the Back Bay station. The only issue I had was the narrow steps and spaces throughout the house. I had a large 45lb. suitcase and had a hard time going up and down the stairs. But other than that I didn't mind it for the price. If you're on the larger side and easily awaken with light coming in the room then the 4th filler office is not for you. 
152,-7,"I booked my trip to Boston 6 months ago through Airbnb for this location owned by Peter because of the supposedly good reviews for this location and that it was a clean place.  Arrived at this location on the 16th of August 2016.  Immediately, I was appalled at the condition of the residence, supposedly it having been cleaned before my arrival.  I CALLED Airbnb immediately and informed them of the problems with the address and they stated that they would open a case on these issues.  The following problems were noted and pictures were sent to Airbnb and are listed below:

1. Dirty garbage under the sink, that I had to carry down 7 flights of stairs to be rid of 
2. Moldy fruit and old and used condiments left in the refrigerator
3. Toilet handle broken the first time I used the toilet
4. Bathroom mat was dirty and molded
5. The bathtub and sink would not drain, totally clogged
6. Stained and soiled sheets, pillows, and mattress 
7. Was supposed to have Wi-Fi capability when I had booked this location.  Peter gave me a password but it did not allow me to have access
8. Only able to receive one channel on the TV
9. Rug in the bedroom was very dirty 


I called the owner and he stated that he was out of town but would come over and address my issues on Thursday, the 18th of August.  In the meantime Peter advised me to call his plumber, which I did, and he arrived the next day and fixed the problems.  Peter arrived on Thursday in the evening and I and my brother met with him.  As I addressed each problem his demeanor and attitude was very dismissive.  He stated that because of the location people stay at this address just because it is in the North End of Boston.  Apparently, in his view, all these were minor problems and the cleanness has not been an issue.  I spent a whole day cleaning the place.  Peter did refund the cleaning fee via a check.

To make my stay more comfortable and not wanting to sleep on dirty linens, my brother brought over clean linens, pillows and a new bath mat. 
"
153,-1,"Sorry Phyllis if I don't  write in English !!!
L'accoglienza è stata molto affettuosa e con lei abbiamo subito instaurato un ottimo rapporto. La casa è veramente accogliente e  comoda per la vicinanza alla metro. Io e mia figlia ci siamo sentite come a casa nostra.
Il quartiere di Forrest Hill è piacevole e dotato di vicini supermercati. "
154,-1,"Nous avons beaucoup apprécié le logement de Brendon qui correspondait tout à fait à nos attentes. Il est très bien équipé et très agréablement agencé, beaucoup de plaisir à profiter de la terrasse. 
"
155,-1,"Vicki was a great host, her home is quite beautiful!  Unfortunately when we stayed there, there was a lot of recent snowfall so that was a hard on us but no terrible.  I would stay there again and hope to visit again!"
156,-2,"Nice little spot to crash at in Back Bay! Ashlee's place is a short stroll from the many shops, eateries, and bars in the area and a couple blocks from Fenway, if that's your jam. There's also a Hubway bike rental stand and T station nearby if you want to extend your range. I stayed with two other friends (three total) and we had no issues at all. Yes, there's some noise from the cars travelling down Hwy 90 below the apartment. Though it was more like white noise to us, almost soothing (maybe we're weird...). Ashlee was very welcoming and we enjoyed staying at her place for the night we were there."
157,-1,"Ashlee a tout fait pour nous accueillir au mieux alors qu'elle déménageait et qu'elle était déjà partie en tournée.
Tout le séjour c'est bien passé mais entrer dans un appartement presque vidé sans être prévenu était un peu étrange.
Le logement était propre mais sans plus.
Très bien placé è"
158,-1,"Nous avons séjourné que 2 nuits chez Faye mais le confort et l'emplacement de la chambre nous ont conquises. Déjà, nous avons été très bien accueillies, Faye a été très arrangeante sur l'heure de notre arrivée (très tôt le matin) et nous a donné plein d'informations sur les différentes attractions touristiques de Boston. La chambre est exactement comme sur les photos et nous avons particulièrement apprécié le fait d'avoir tout le dernier étage pour nous. La chambre est propre, confortable, climatisée, avec une salle de bain privative... et très bien situé (excepté Harvard, nous avons tout fait à pied)"
159,-1,"The top feature is convenience--the row house is about a 5-minute walk from Back Bay Station and 10-15 minutes from Copley Square. The accommodations can be described as funky or atmospheric, depending on expectations. "
160,-1,"Robert is a paragon of hospitality and accomodation. He is an academic and his home can rival any public library. The location is perfect: walking distance in minutes to Back Bay T. i walked to many destinations and did all my sightseeing with no problem and safely. The brownstone is ornate but worn. My parlor room was spacious and clean. i wish it had an armoir or even a closet with hangers: a bit challenging to live out of a suitcase for a week and not having one hook to even hang a wet towel.
"
161,-3,"Robert was very communicative, and there were no major problems with the overall AirBnB coordination experience.  That said, the other reviews for this location do not accurately describe the listing.  ""Historic"" and ""run down"" are two very different things, and unfortunately, this house is in the latter category.  While the room looks nice in the pictures online, the rest of the house appears to be a fire hazard due to the abundance of books, etc. on shelves in the hallways.  The house is nearing hoarder-status.  I also have dust allergies, and the books and old furniture (note that I did not call them antiques) really set them off. Had I been with my wife on this work trip, we would have immediately left and found another place to stay. Robert seems to be a very nice person, but this house is not suitable for AirBnB in its current form.  The house was not dirty, per se, but the amount of random ""stuff"", poor lighting, and piles everywhere made this an uncomfortable experience. "
162,-1,"Robert was a nice host. The place is a bit strange, as you have to use a bathroom that is connected directly to the kitchen where people sit and have breakfast. Kind of weird."
163,-1,"Mein Freund und ich haben unseren Aufenthalt hier sehr genossen. Das gesamte Haus ist toll und unsere Zimmer mit eigenem Bad war einfach super. Alles war sauber und liebevoll eingerichtet. In der Küche gab es morgens Kaffee, Cereals und Bagels zum selbstbedienen. 
Man braucht zwar eine Weile (ca 20 min) bis man in Boston City ist, da Jamaica Plain doch etwas außerhalb liegt, aber der Stadtteil ist sehr schön und es gibt Restaurants, Cofeeshops und kleine Supermärkte in laufnähe. 
Alles in allem sehr gelungen! Würden es auf jeden Fall weiter empfehlen und jederzeit wieder kommen. "
164,-1,"Leider haben wir die Gastgeberin nicht zu sehen bekommen, wir hatten aber detaiilierte Instruktionen, um unser Zimmer zu beziehen. Ein paar kleine Fragen bei unserer Ankunft wurden unverzüglich per Text-Message beantwortet.
Das Zimmer lag im 1. OG eines zauberhaften Hauses in einer schönen und sehr ruhigen Wohngegend.
Die Einrichtung war wunderschön und bestach durch viele kleine Details, besonders viel Wert lag auf einem künstlerischen Gesamteindruck.
Zimmer und Bad waren hell und extrem sauber, auch die zur Verfügung gestellte Wäsche war makellos. Alles funktionierte, sogar das WLAN.
Wir fanden die Kosten für die drei Übernachtungen sehr angemessen und können die Unterkunft ohne Einschränkung weiter empfehlen."
165,-2,"Das Zimmer ist sehr toll, besonders das eigene Bad ist ein großes Plus. Das Bett war wie beschrieben nicht das größte, aber für ein Pärchen leicht ausreichend. 
Victoria ist sehr freundlich und war zwar bei unser Ankunft nicht anwesend, aber per Textnachricht immer sofort erreichbar.
Zum Frühstück kann man sich bei Kaffee und Kleinigkeiten wie Oatmeal und Müsli bedienen. 
Die Gegend ist sehr nett und es gibt viele kleine Restaurants, Pubs und Bakeries. Es gibt auch sehr schöne Parks in der Nähe z.B. das Arboretum der Harvard Universität. Man geht ca. 10 Minuten zur U-Bahn-Station und fährt dann auch noch ein Weilchen ins Zentrum. 
Wir würden diese Unterkunft auf jeden Fall weiterempfehlen und kommen gerne wieder."
166,-2,"Dies war meine erste airbnb-Erfahrung und es war grossartig. Victoria ist eine hervorragende Gastgeberin und ich hätte es für meinen Aufenthalt in Boston nicht besser treffen können. Jeden Abend habe ich mich gefreut, nach einem ereignisreichen Tag wieder ""heim"" zu kommen. Victoria hat sich immer sofort auf eine Frage gemeldet. Alles ist so oder noch besser wie in der Beschreibung. Ich komme in jedem Fall wieder!"
167,-2,"Everything fit the description perfectly. Only issue that my guest and I felt was weird was that the walls were rather thin, and the floorboards creak slightly so it can feel as though you are making a ruckus, even though you're probably not. Originally, we thought that the owners lived in the other doors in the apartment, but (we believe) that is not the case. "
168,-1,Marcia est très disponible et fait tout pour rendre le séjour le plus agréable possible.
169,-1,"Dangerous, shady neighborhood, did not feel safe so we didn't stay, he refused to refund, took every penny. Do not stay with a person with such low character. "
170,-2,"La maison située dans East Boston est très sympathique, propre et pas loin du métro (arrêt ""airport"" de la blue line).
La cuisine est équipée avec lave vaisselle, micro onde, cafetière et autre!! Vraiment très bien!
La chambre dispose d'un lit confortable, de rangements et d'un sèche cheveux (pour celles qui ne pourraient s'en passer!).
Pourtant elle est quand même plutôt petite et il est impossible d'ouvrir la fenêtre (climatisation oblige).
Nous passerons tout de même 5  nuits agréables dans un quartier assez calme."
171,-4,"This room was quite disappointing. The instructions on how to find the room were extremely unclear, the cleanliness was severely lacking, and the other tenants were loud, making an early bedtime impossible. I was very disappointed with my stay and would not recommend it."
172,-2,The neighborhood is sketchy and their was nobody at the home to welcome me. The room was shockingly small and not very clean. The bed was in horrible condition and was topped with a musty comforter. There was a towel with a huge bleach stain on the bed. I opened the window to let some air in the room and after ten minutes decided to leave. I booked another room in a different area and was much happier.
173,-1,It was a chill experience. I would stay there again. Thanks Izzy!
174,-3,Brooke is in the middle of a renovation so things were a bit dusty and unsettled. Nonetheless the bedroom was spacious and street noise pretty much died down by 11 pm. Brooke is personable and accommodating.  We shared the room with a large fish tank but Brooke was willing to let us turn off the noisy aerator when we asked. 
175,-2,"Location was fantastic and the view at night was great for adding colour to entertaining. Small issues detracted from the overall decor. The leather lounge suite was very worn. The bedrooms were disappointing because the curtains were inadequate and some walls and windows needed repair. Being a penthouse and for the price, these items should have been fixed. "
176,-2,"The area is excellent, however, the accommodations are not worth the price that is charged.  TVs do not work, the cooking utensils are limited and do not fit the stove.  The showers are very cramped.  The sink did not drain because the drain plug was stuck.  The lights flickered at times.  The rooms were tiny.  Sleeping eight is a stretch.  "
177,-6,"The penthouse apt. was very nice. However, the elevator wasn't working, and we had to climb 6 flights (4 times, as it ended up). That can happen. However there were other problems that a checklist would have corrected. The cooling did not work until an air conditioning contractor was called (the apt was in the 80s when we arrived after climbing stairs). First, the thermostat in the LR didn't control the cooling, though the sign on it warned against setting it too low. We later were told the cooling was controlled by a thermostat behind the front door, in a closet or niche, but it was inoperable because the battery needed replacement. There was no bath or hand soap, an omission we did not discover until we were ready to shower -- then an 8 block walk to buy soap. The coffeemaker is broken (line that distributes hot water to the grounds was missing); the filters provided were the wrong type (we poured boiling water manually); the toaster oven on/off knob was missing; remote controls on bedroom TVs didn't work (discovered 2 could be turned on at the device on last morning); the front lights in sw bedroom didn't work (had to climb riser to turn on the rear set); the shower head in upstairs hall bathroom aimed at the wall (bracket was broken), so couldn't be used.  I always leave a tip for housekeepers -- they have the worst job -- but didn't this time because a basic review would have solved most of these problems. If they had turned the AC on before our arrival on a hot day, they would have known it didnt work.  A great apartment made very unpleasant by neglect of little things."
178,-4,"The hosts were welcoming and allowed us to use any and all facilities in the apartment. Christina had some subway passes that she gave me to get around the city. The apartment itself was dingy despite the attempt to use bright colors on the walls. Everything had a layer of grime. The door handles were loose and the sink in the bathroom didn't drain. The whole complex inside reeked of weed the entire time I stayed. Bring earplugs because the room faces the main street and ambulances and cop cars pass all night long. There is really no consideration for guests. I would not stay here again.
"
179,-1,"My husband and I were very disappointed with our stay. The photos aren't the same photos as the room itself. These photos show a bay window and a much larger kitchen, and our room had a (non-bay) window that was covered with fire escapes and overlooked another brick building and the kitchen was significantly smaller. On top of that, a lamp didn't work, the water in the tub wouldn't drain, and it was overall in very shabby condition. We were shocked at the price we paid for a motel quality room. Needless to say, we won't be staying here again. At the price they're charging, you're better off at a hotel.

The one good thing I will say is that the location is excellent."
180,-1,"Actually I booked three nights for my son who spent Sping Break in Boston. No doubt he enjoyed his stay with Roger and Sophie, even joined the Wedding of their neighbour. What a surprise! I think I shall experience myself once I travel to Boston."
181,-1,"Merci à Steve, c'est un homme très sympathique, c'est dommage que nous ne l'ayons rencontré que la veille de notre départ, les autres locataires étaient gentils et nous ont renseignés, entre autre pour trouver le métro qui est tout près, ce qui est très pratique pour se rendre partout où nous voulons aller !  Nous avons pu laisser l'auto devant la maison tout le temps de notre séjour et utiliser les transports en commun, ce qui est très pratique."
182,-1,"Nous n'avons pas réellement rencontrer Steve durant nos 3 jours. 
Mais il à toujours répondu aux message, et aux questions que nous avions à propos du logement. 
La chambre était très bien, spacieuse et propre. 
Surprise de voir autant de monde cohabiter, mais pour passer seulement 2 nuits ce n'était pas un problème. 
Seul problème, le partage de la salle de bain avec les autres personnes qui louait une chambre. (Laisser les serviettes de bain n'importe ou, les cheveux partout..) bref, cela ne donne pas envie d'engager la conversation.
Mais sinon tout à très bien été.

Merci encore Steve."
